fremdsprache,deutsch,deklination,lektion,richtig,falsch
iubere,befehlen,iubeo iussi iussum,9,22,1
tenere,halten haben,,9,24,2
placere,gefallen,,9,18,4
dare,geben,do dedi datum,9,20,0
inquit,"sagte er, sie es",,9,13,6
celer,schnell,celeris celere,9,13,7
terra,die Erde das land,ae f,9,14,7
qui,der die das welcher welche welches,quae quod,9,16,3
ibi,dort,,9,15,2
bos,das Rind,bovis m/f,9,13,3
rex,der könig,regis m,9,13,4
pater,der vater,patris m,9,13,3
mons,der Berg,montis m,9,15,1
virgo,die Frau,virginis f,9,15,2
bene,gut,,9,14,2
convenire,zusammenkommen jemanden treffen sich einigen,venio veni ventum,9,9,11
amor,die Liebe,amoris m,9,10,7
ponere,stellen liegen,pono posui positum,9,5,11
de-ponere,ab/weglegen,pono posui positum,9,14,6
orbis,der Kreis,is m,9,17,5
orbis terrarum,der Erdkreis,,9,17,4
dexter,rechts glücklich,dextra dextrum,9,14,7
dextra,die rechte hand,ae f,9,12,12
ignis,das Feuer,is m,9,26,6
inter,zwischen unter während,,9,17,5
miscere,mischen,misceo miscui mixtum,9,18,5
herba,das Gras,ae f,9,7,4
gaudere,sich über etw freuen,abl,9,17,5
stare,stehen,sto steti statum,9,17,2
color,die Farbe,coloris m,9,13,5
fortis,stark tapfer,is e,9,21,7
puella,das Mädchen,ae f,9,17,2
manus,die Hand die Gruppe,us f,9,14,14
modo,nur gerade eben,,9,20,16
modo modo,bald bald mal mal,,9,23,4
audere,wagen,,9,30,7
pes,der Fuß,pedis m,9,24,2
unda,die Welle,ae f,9,18,8
ab-ire,weg gehen,,9,0,0
